,provincia,comunidad autonoma,titulo,precio,habitaciones,metros,total inmuebles/comunidad
78,La Coruña,Galicia,"Piso en calle de Laverde Ruiz, 2, Ensanche - Sar, Santiago de Compostela",500,2,50,1751
79,La Coruña,Galicia,"Ático en calle do Pexigo de Abaixo, 4, 4, Ensanche - Sar, Santiago de Compostela",800,2,41,1751
80,La Coruña,Galicia,"Piso en avenida de Salamanca, 8, Campus norte - S.Caetano, Santiago de Compostela",700,3,81,1751
81,La Coruña,Galicia,"Piso en plaza Pontevedra, Ensanche, A Coruña",600,2,77,1751
82,La Coruña,Galicia,"Piso en calle Juana de Vega, Ensanche, A Coruña",1600,3,192,1751
83,La Coruña,Galicia,"Piso en calle Pondal, Juan Flórez-San Pablo, A Coruña",700,2,80,1751
84,La Coruña,Galicia,"Piso en calle Faro de Finisterre,, Monte Alto - Zalaeta - Atocha, A Coruña",850,2,80,1751
85,La Coruña,Galicia,"Casa o chalet independiente en avenida Pasaxe, Eirís, A Coruña",2500,5,380,1751
86,La Coruña,Galicia,"Piso en calle Juan Flórez, Juan Flórez-San Pablo, A Coruña",890,3,85,1751
87,La Coruña,Galicia,"Piso en avenida das mariñas, Nós, Oleiros",700,4,136,1751
88,La Coruña,Galicia,"Ático en calle Salazón, 5, Ares",1000,2,105,1751
89,La Coruña,Galicia,"Ático en Julio Rodriguez Yordi, 14, Riazor - Los Rosales, A Coruña",900,2,113,1751
90,La Coruña,Galicia,"Piso en plaza de Tranvías, Alto del Castaño, Narón",550,3,100,1751
91,La Coruña,Galicia,"Casa o chalet independiente en Caballero Ponthus, 6, Cedeira",700,5,180,1751
92,La Coruña,Galicia,"Dúplex en plaza do Alcalde Domingos Merino, Someso - Matogrande, A Coruña",700,3,115,1751
93,La Coruña,Galicia,"Casa o chalet independiente en Esperón, Carral",850,3,126,1751
94,La Coruña,Galicia,"Piso en avenida Finisterre, Sagrada Familia, A Coruña",560,3,70,1751
95,La Coruña,Galicia,"Piso en calle dos niños, Perillo, Oleiros",2500,3,87,1751
96,La Coruña,Galicia,"Piso en calle Betanzos, 5, Ensanche, A Coruña",1350,3,98,1751
97,La Coruña,Galicia,"Ático en avenida Finisterre, 49, Juan Flórez-San Pablo, A Coruña",1400,3,184,1751
98,La Coruña,Galicia,"Piso en Emilio González López, 61, Riazor - Los Rosales, A Coruña",550,2,80,1751
99,La Coruña,Galicia,"Casa o chalet independiente en calle Areosa, Maianca, Oleiros",2250,2,108,1751
100,La Coruña,Galicia,"Casa o chalet independiente en calle das Hortensias, Liáns, Oleiros",1800,6,350,1751
101,La Coruña,Galicia,"Piso en calle Real, Ciudad Vieja - Centro, A Coruña",1200,3,140,1751
102,La Coruña,Galicia,"Piso en plaza de Pontevedra, 14, Juan Flórez-San Pablo, A Coruña",850,3,115,1751
103,La Coruña,Galicia,"Estudio en Pexigo de Abaixo, 4, Ensanche - Sar, Santiago de Compostela",450,,Bajo exterior sin ascen,1751
104,La Coruña,Galicia,"Piso en calle Nova, Casco Histórico, Santiago de Compostela",850,3,100,1751
105,La Coruña,Galicia,"Piso en Luis Pita, 1, Eirís, A Coruña",495,1,45,1751
106,La Coruña,Galicia,"Piso en Monte Alto - Zalaeta - Atocha, A Coruña",695,1,78,1751
107,La Coruña,Galicia,"Piso en Falperra-Santa Lucía, A Coruña",590,1,38,1751
108,La Coruña,Galicia,"Ático en avenida de Antonio Fraguas, 7, Ensanche - Sar, Santiago de Compostela",2000,4,116,1751
109,La Coruña,Galicia,"Piso en calle do Pexigo de Abaixo, 4, Ensanche - Sar, Santiago de Compostela",650,1,41,1751
110,La Coruña,Galicia,"Piso en calle da República Arxentina, 20, Ensanche - Sar, Santiago de Compostela",850,3,90,1751
111,La Coruña,Galicia,"Estudio en calle Perillana, Ensanche, A Coruña",530,,Planta 3ª exterior con ascen,1751
112,La Coruña,Galicia,"Piso en calle Pintor Bello Pineiro, 31, Porta Nova, Ferrol",415,2,75,1751
113,La Coruña,Galicia,"Piso en primo de rivera, Cuatro Caminos - Plaza de la Cubela, A Coruña",875,2,75,1751
114,La Coruña,Galicia,"Piso en calle Sinfónica de Galicia, 9, Juan Flórez-San Pablo, A Coruña",1275,3,107,1751
115,La Coruña,Galicia,"Piso en Estrecha de San Andres, Ciudad Vieja - Centro, A Coruña",675,1,58,1751
116,La Coruña,Galicia,"Ático en Xoan Vicente Viqueira, s/n, Sada",500,2,75,1751
117,La Coruña,Galicia,"Piso en rafael dieste, Almeiras, Culleredo",500,2,85,1751
118,La Coruña,Galicia,"Piso en Sinfónica de Galicia, Juan Flórez-San Pablo, A Coruña",1275,3,110,1751
119,La Coruña,Galicia,"Piso en calle Almirante Lángara, Riazor - Los Rosales, A Coruña",800,3,110,1751
120,La Coruña,Galicia,"Piso en calle ESTREITA, Vilaboa Sur, Culleredo",550,3,100,1751
121,La Coruña,Galicia,"Casa o chalet independiente en Iñas, cerca centro comercial, Nós, Oleiros",750,4,120,1751
122,La Coruña,Galicia,"Piso en Fincheira, Rianxo",450,3,117,1751
123,La Coruña,Galicia,"Piso en calle Payo Gómez, Ensanche, A Coruña",1200,2,112,1751
124,La Coruña,Galicia,"Piso en travesía Montiño, Los Castros - Castrillón, A Coruña",650,3,79,1751
125,La Coruña,Galicia,"Ático en plaza Tabares, 1, Monte Alto - Zalaeta - Atocha, A Coruña",650,,Planta 5ª exterior con ascen,1751
126,La Coruña,Galicia,"Piso en calle Orzán, 37, Monte Alto - Zalaeta - Atocha, A Coruña",705,2,100,1751
127,La Coruña,Galicia,"Piso en avenida de Oza, 111, Los Castros - Castrillón, A Coruña",850,2,107,1751
